Browse	Procházet
No underline for spaces	Nepodtrhávat mezery
Tabulator	Tabulátor
Optional line break	Volitelné zalomení řádku
Non-convertible character	Nepřevoditelný znak
Image mode	Režim obrázku
Radius of glow effect	Poloměr efektu záře
Color of glow effect	Barva efektu záře
Transparency of glow effect	Průhlednost efektu záře
Radius of soft edge effect	Poloměr efektu měkkého okraje
Media object	Mediální objekt
Media objects	Objekty s médii
Insert column	Vložit sloupec
Delete column	Smazat sloupec
Split cells	Rozdělit buňky
Format cell	Formátovat buňku
Distribute rows	Rozmístit řádky
Distribute columns	Rozmístit sloupce
Delete cell contents	Smazat obsah buněk
Table style	Styl tabulky
Table style settings	Nastavení stylu tabulky
Font work	Písmomalba
Continuous	Spojitá
Bitmap	Rastr
Use Slide Background	Použít pozadí snímku
Untitled Pattern	Vzorek bez názvu
Arrowheads	Styl šipky
Arrow	Šipka
Not centered	Nevystředěno
Black/White	Černobílá
Left click to apply as background color, right click to set line color	Kliknutím levým tlačítkem nastavíte barvu pozadí, kliknutím pravým barvu čáry
Dark Red 2	Tmavě červená 2
Dark Blue 1	Tmavě modrá 1
Light Blue 2	Světle modrá 2
Gold	Zlatá
Brick	Červenohnědá
Purple	Purpurová
Indigo	Indigová
Teal	Zelenomodrá
Lime	Žlutozelená
Light Yellow	Světle žlutá
Light Gold	Světle zlatá
Light Orange	Světle oranžová
Light Brick	Světle červenohnědá
Light Purple	Světle purpurová
Light Indigo	Světle indigová
Light Teal	Světle zelenomodrá
Light Lime	Světle žlutozelená
Dark Gray	Tmavě šedá
Dark Yellow	Tmavě žlutá
Dark Gold	Tmavě zlatá
Dark Orange	Tmavě oranžová
Dark Brick	Tmavě červenohnědá
Dark Red	Tmavě červená
Dark Magenta	Tmavá magenta
Dark Purple	Tmavě purpurová
Dark Indigo	Tmavě indigová
Dark Blue	Tmavě modrá
Dark Teal	Tmavě zelenomodrá
Dark Green	Tmavě zelená
Dark Lime	Tmavě žlutozelená
Violet (Out of Gamut)	Fialová (mimo gamut)
Blue (Out of Gamut)	Modrá (mimo gamut)
Azure (Out of Gamut)	Blankytná (mimo gamut)
Spring Green (Out of Gamut)	Svěží zelená (mimo gamut)
Green (Out of Gamut)	Zelená (mimo gamut)
Chartreuse Green (Out of Gamut)	Žlutozelená (mimo gamut)
Orange (Out of Gamut)	Oranžová (mimo gamut)
Red (Out of Gamut)	Červená (mimo gamut)
Rose (Out of Gamut)	Růžová (mimo gamut)
Azure	Blankytná
Spring Green	Svěží zelená
Chartreuse Green	Žlutozelená
Rose	Růžová
Gray A	Šedá A
Yellow A	Žlutá A
Amber A	Zlatá A
Amber	Zlatá
Orange A	Oranžová A
Deep Orange A	Tmavě oranžová A
Deep Orange	Tmavě oranžová
Red A	Červená A
Pink A	Růžová A
Purple A	Purpurová A
Deep Purple A	Tmavě purpurová A
Deep Purple	Tmavě purpurová
Indigo A	Indigová A
Blue A	Modrá A
Light Blue A	Světle modrá A
Cyan A	Azurová A
Teal A	Zelenomodrá A
Green A	Zelená A
Light Green A	Světle zelená A
Lime A	Žlutozelená A
Brown A	Hnědá A
Blue Gray A	Modrošedá A
Blue Gray	Modrošedá
Blue classic	Klasická modrá
Blue gray	Modrošedá
Bordeaux	Tmavě červená
Pale yellow	Světle žlutá
Pale green	Světle zelená
Dark violet	Tmavě fialová
Salmon	Lososová
Sea blue	Námořnická modř
Sky blue	Nebesky modrá
Yellow green	Žlutozelená
Pink	Růžová
Turquoise	Tyrkysová
Black 1	Černá 1
Black 2	Černá 2
Currency 3D	Měna, 3D
Currency Gray	Měna, šedá
Currency Lavender	Měna, levandulová
Currency Turquoise	Měna, tyrkysová
Lavender	Levandulová
Simple Grid Columns	Jednoduché sloupce
Simple Grid Rows	Jednoduché řádky
Simple List Shaded	Jednoduchý stínovaný
Line joint averaged	Napojení čar - v půli
Line joint bevel	Napojení čar - úkosem
Line joint miter	Napojení čar - pokosem
Line joint round	Napojení čar - zaoblené
Line cap flat	Rovné zakončení čáry
Line cap round	Zaoblené zakončení čáry
Line cap square	Hranaté zakončení čáry
Linear blue/white	Lineární modrá/bílá
Linear magenta/green	Lineární magenta/zelená
Linear yellow/brown	Lineární žlutá/hnědá
Radial green/black	Radiální zelená/černá
Radial red/yellow	Radiální červená/žlutá
Rectangular red/white	Obdélníkový červená/bílá
Square yellow/white	Čtvercový žlutá/bílá
Ellipsoid blue gray/light blue	Oválný modrošedý / světle modrý
Axial light red/white	Axiální světle červená/bílá
Diagonal 1l	Úhlopříčně 1l
Diagonal 1r	Úhlopříčně 1r
Diagonal 2l	Úhlopříčně 2l
Diagonal 2r	Úhlopříčně 2r
Diagonal 3l	Úhlopříčně 3l
Diagonal 3r	Úhlopříčně 3r
Diagonal 4l	Úhlopříčně 4l
Diagonal 4r	Úhlopříčně 4r
Diagonal Blue	Úhlopříčně modrá
Diagonal Green	Úhlopříčně zelená
Diagonal Orange	Úhlopříčně oranžová
Diagonal Red	Úhlopříčně červená
Diagonal Turquoise	Úhlopříčně tyrkysová
Diagonal Violet	Úhlopříčně fialová
From a Corner	Z rohu
From a Corner, Blue	Z rohu modrá
From a Corner, Green	Z rohu zelená
From a Corner, Orange	Z rohu oranžová
From a Corner, Red	Z rohu červená
From a Corner, Turquoise	Z rohu tyrkysová
From a Corner, Violet	Z rohu fialová
From the Middle	Ze středu
From the Middle, Blue	Ze středu modrá
From the Middle, Green	Ze středu zelená
From the Middle, Orange	Ze středu oranžová
From the Middle, Red	Ze středu červená
From the Middle, Turquoise	Ze středu tyrkysová
From the Middle, Violet	Ze středu fialová
Horizontal Blue	Vodorovně modrá
Horizontal Green	Vodorovně zelená
Horizontal Orange	Vodorovně oranžová
Horizontal Red	Vodorovně červená
Horizontal Turquoise	Vodorovně tyrkysová
Horizontal Violet	Vodorovně fialová
Radial Blue	Radiální modrá
Radial Green	Radiální zelená
Radial Orange	Radiální oranžová
Radial Red	Radiální červená
Radial Turquoise	Radiální tyrkysová
Radial Violet	Radiální fialová
Vertical Blue	Svisle modrá
Vertical Green	Svisle zelená
Vertical Orange	Svisle oranžová
Vertical Red	Svisle červená
Vertical Turquoise	Svisle tyrkysová
Vertical Violet	Svisle fialová
Gray Gradient	Šedý přechod
Yellow Gradient	Žlutý přechod
Orange Gradient	Oranžový přechod
Red Gradient	Červený přechod
Pink Gradient	Růžový přechod
Sky	Obloha
Cyan Gradient	Azurový přechod
Blue Gradient	Modrý přechod
Purple Pipe	Fialová roura
Night	Noc
Green Gradient	Zelený přechod
Pastel Bouquet	Pastelová kytice
Pastel Dream	Pastelový sen
Blue Touch	Dotek modré
Blank with Gray	Bílá a šedá
Spotted Gray	Šedá se středem
London Mist	Londýnská mlha
Teal to Blue	Zelenomodrá do modré
Midnight	Půlnoc
Deep Ocean	Hluboký oceán
Submarine	Ponorka
Green Grass	Zelená tráva
Neon Light	Neonové světlo
Sunshine	Sluneční svit
Present	Dárek
Mahogany	Mahagon
Black 0 Degrees	Černé 0 stupňů
Black 90 Degrees	Černé 90 stupňů
Black 180 Degrees Crossed	Křížové černé 180 stupňů
Blue 45 Degrees	Modré 45 stupňů
Blue -45 Degrees	Modré −45 stupňů
Blue 45 Degrees Crossed	Křížové modré 45 stupňů
Green 30 Degrees	Zelené 30 stupňů
Green 60 Degrees	Zelené 60 stupňů
Green 90 Degrees Triple	Trojité zelené 60 stupňů
Red 45 Degrees	Červené 45 stupňů
Red 90 Degrees Crossed	Křížové červené 45 stupňů
Red -45 Degrees Triple	Trojité červené −45 stupňů
Yellow 45 Degrees	Žluté 45 stupňů
Yellow 45 Degrees Crossed	Křížové žluté 45 stupňů
Yellow 45 Degrees Triple	Trojité žluté 45 stupňů
Empty	Prázdný
Painted White	Bílá výmalba
Paper Texture	Textura papíru
Paper Crumpled	Zmačkaný papír
Paper Graph	Čtverečkovaný papír
Parchment Paper	Pergamenový papír
Fence	Plot
Wooden Board	Dřevěné prkno
Maple Leaves	Javorové listí
Lawn	Trávník
Colorful Pebbles	Barevné oblázky
Coffee Beans	Kávová zrna
Little Clouds	Oblaka
Bathroom Tiles	Dlaždičky v koupelně
Wall of Rock	Kamenná zeď
Zebra	Zebra
Color Stripes	Barevné pruhy
Gravel	Štěrk
Parchment Studio	Pergamenové studio
Night Sky	Noční obloha
Pool	Bazén
Kraft Paper	Kraftový papír
Concrete	Beton
Brick Wall	Cihlová zeď
Stone Wall	Zeď z balvanů
Floral	Květiny
Space	Vesmír
Ice light	Světlý led
Marble	Mramor
Sand light	Světlý písek
Stone	Kámen
White Diffusion	Bílý rozptyl
Cardboard	Karton
Studio	Studio
5 Percent	5 procent
10 Percent	10 procent
20 Percent	20 procent
25 Percent	25 procent
30 Percent	30 procent
40 Percent	40 procent
50 Percent	50 procent
60 Percent	60 procent
70 Percent	70 procent
75 Percent	75 procent
80 Percent	80 procent
90 Percent	90 procent
Light Downward Diagonal	Světlý úhlopříčně dolů
Light Upward Diagonal	Světlý úhlopříčně nahoru
Dark Downward Diagonal	Tmavý úhlopříčně dolů
Dark Upward Diagonal	Tmavý úhlopříčně nahoru
Wide Downward Diagonal	Široký úhlopříčně dolů
Wide Upward Diagonal	Široký úhlopříčně nahoru
Light Vertical	Světlý svisle
Light Horizontal	Světlý vodorovně
Narrow Vertical	Úzký svisle
Narrow Horizontal	Úzký vodorovně
Dark Vertical	Tmavý svisle
Dark Horizontal	Tmavý vodorovně
Dashed Downward Diagonal	Čárkovaný úhlopříčně dolů
Dashed Upward Diagonal	Čárkovaný úhlopříčně nahoru
Dashed Horizontal	Čárkovaný vodorovně
Dashed Vertical	Čárkovaný svisle
Small Confetti	Malé konfety
Large Confetti	Velké konfety
Zig Zag	Cikcak
Wave	Vlny
Diagonal Brick	Úhlopříčné cihly
Horizontal Brick	Vodorovné cihly
Weave	Tkanina
Plaid	Přehoz
Divot	Trávník
Dotted Grid	Tečkovaná mřížka
Dotted Diamond	Tečkovaný kosočtverec
Shingle	Šindel
Trellis	Treláž
Sphere	Kuličky
Small Grid	Malá mřížka
Large Grid	Velká mřížka
Small Checker Board	Malá šachovnice
Large Checker Board	Velká šachovnice
Outlined Diamond	Obrys kosočtverce
Solid Diamond	Plný kosočtverec
Downward Diagonal	Úhlopříčně dolů
Upward Diagonal	Úhlopříčně nahoru
Diagonal Cross	Kříž úhlopříčně
Dashed Dotted	Čárkovaná a tečkovaná
Dashed Dotted Upward Diagonal	Čárkovaná a tečkovaná úhlopříčně nahoru
Solid Dotted	Plná a tečkovaná
Dot	Tečkovaná
Long Dot	Proložená tečkovaná
Dot (Rounded)	Tečkovaná (zaoblená)
Dash	Čárkovaná
Long Dash	Čárkovaná s delší čárkou
Double Dash	Čárkovaná s dvojnásobnou čárkou
Long Dash Dot	Čerchovaná
Double Dash Dot	Čerchovaná s delší čárkou
Double Dash Dot Dot	Čerchovaná se dvěma tečkami
Ultrafine Dotted	Velmi jemně tečkovaná
Fine Dotted	Jemně tečkovaná
Ultrafine Dashed	Velmi jemně čárkovaná
Line Style 9	Čárkovaná
3 Dashes 3 Dots	3 čárky 3 tečky
Ultrafine 2 Dots 3 Dashes	Velmi jemné 2 tečky a 3 čárky
2 Dots 1 Dash	2 tečky 1 čárka
Line with Fine Dots	Střídavá čára s jemnými tečkami
Long Dot (Rounded)	Proložená tečkovaná (zaoblená)
Dash (Rounded)	Čárkovaná (zaoblená)
Long Dash (Rounded)	Čárkovaná s delší čárkou (zaoblená)
Double Dash (Rounded)	Čárkovaná s dvojnásobnou čárkou (zaoblená)
Dash Dot (Rounded)	Čerchovaná (zaoblená)
Long Dash Dot (Rounded)	Čerchovaná (zaoblená)
Double Dash Dot (Rounded)	Čerchovaná s delší čárkou (zaoblená)
Dash Dot Dot (Rounded)	Čerchovaná se dvěma tečkami (zaoblená)
Double Dash Dot Dot (Rounded)	Čerchovaná se dvěma tečkami dvojitá (zaoblená)
All formats	Všechny formáty
Concave short	Krátká konkávní
Square 45	Čtverec 45
Arrow short	Krátká šipka
Dimension Lines	Kótovací čára
Double Arrow	Dvojitá šipka
Triangle	Trojúhelník
Concave	Konkávní
Arrow large	Dlouhá šipka
Dimension Line	Kótovací čára s obrysem šipky
Half Circle	Poloviční kruh
Triangle unfilled	Prázdný trojúhelník
Diamond unfilled	Prázdný kosočtverec
Circle unfilled	Prázdný kruh
Square 45 unfilled	Prázdný čtverec 45
Square unfilled	Prázdný čtverec
Half Circle unfilled	Nevyplněný poloviční kruh
Dimension Line Arrow	Kótovací čára se šipkou
Line short	Krátký obrys šipky
Line	Obrys šipky
Half Arrow left	Dolní polovina šipky
Half Arrow right	Horní polovina šipky
Reversed Arrow	Obrácená šipka
CF One	CF jeden
CF Only One	CF pouze jeden
CF Many	CF více
CF Many One	CF více a jeden
CF Zero One	CF žádný a jeden
CF Zero Many	CF žádný a více
Green 1 (%PRODUCTNAME Main Color)	Zelená 1 (hlavní barva %PRODUCTNAME)
Green Accent	Výrazná zelená
Blue Accent	Výrazná modrá
Orange Accent	Výrazná oranžová
Purple Accent	Výrazná purpurová
Yellow Accent	Výrazná žlutá
Gallery Theme	Galerie motivů vzhledu
Successfully recovered	Úspěšně obnoveno
Original document recovered	Obnoven původní dokument
Recovery failed	Obnovení selhalo
Recovery in progress	Probíhá obnova
Not recovered yet	Zatím neobnovováno
Will be discarded	Bude zahozen
Finish	Dokončit
Last Custom Value	Poslední vlastní hodnota
Image Export	Export obrázku
Save as Image	Uložit jako obrázek
Rotate 3D object	Otočit 3D objekt
Create extrusion object	Vytvořit plastický objekt
Create rotation object	Vytvořit rotační objekt
Split 3D object	Rozdělit 3D objekt
[All]	[vše]
Graphics filter	Grafický filtr
New Theme	Nový motiv vzhledu
Animations	Animace
Flags	Značky
Flow Charts	Vývojové diagramy
Emoticons	Emotikony
Maps	Mapy
People	Lidé
Surfaces	Povrchy
Computers	Počítače
Environment	Životní prostředí
Finance	Finance
Transport	Doprava
Textshapes	Textové obrazce
My Theme	Můj motiv vzhledu
Balloons	Bubliny
Communication	Komunikace
Finances	Finance
Climate	Podnebí
School & University	Škola a univerzita
Problem Solving	Řešení problému
Screen Beans	Ozdoby na obrazovku
Printing selection	Tisk vybraných částí
Do you want to print the selection or the entire document?	Chcete vytisknout pouze výběr nebo celý dokument?
Extrusion North-West	Vytlačený severozápadně
Extrusion North	Vytlačený severně
Extrusion North-East	Vytlačený severovýchodně
Extrusion West	Vytlačený západně
Extrusion Backwards	Vytlačený vzad
Extrusion East	Vytlačený východně
Extrusion South-West	Vytlačený jihozápadně
Extrusion South	Vytlačený jižně
Extrusion South-East	Vytlačený jihovýchodně
0 cm	0 cm
1 cm	1 cm
2.5 cm	2,5 cm
5 cm	5 cm
10 cm	10 cm
0 inch	0 palců
0.5 inch	0,5 palce
1 inch	1 palec
2 inch	2 palce
4 inch	4 palce
By author	Podle autora
Clear formatting	Odstranit formátování
More Styles...	Další styly...
Font Name. The current font is not available and will be substituted.	Název písma. Aktuální písmo není dostupné a bude nahrazeno.
custom	vlastní
Document colors	Barvy dokumentu
Theme colors	Barvy motivu vzhledu
Document Color	Barva dokumentu
Background - Dark 1	Pozadí - tmavé 1
Text - Light 1	Text - světlý 1
Background - Dark 2	Pozadí - tmavé 2
Text - Light 2	Text - světlý 2
Accent 4	Zvýraznění 4
Accent 5	Zvýraznění 5
Accent 6	Zvýraznění 6
Followed Hyperlink	Navštívený hypertextový odkaz
%1, 80% Lighter	%1, 80% světlejší
%1, 60% Lighter	%1, 60% světlejší
%1, 40% Lighter	%1, 40% světlejší
%1, 25% Darker	%1, 25% tmavší
%1, 50% Darker	%1, 50% tmavší
Apply Extrusion On/Off	Zapnout/vypnout plastičnost
Change Extrusion Depth	Změnit hloubku vytlačení
Change Orientation	Změnit orientaci
Change Projection Type	Změnit typ projekce
Change Lighting	Změnit osvětlení
Change Brightness	Změnit jas
Change Extrusion Surface	Změnit povrch
Change Extrusion Color	Změnit barvu vytlačení
R:	R:
G:	G:
B:	B:
Apply Fontwork Shape	Nastavit tvar písmomalby
Apply Fontwork Same Letter Heights	Nastavit stejnou velikost písmen u písmomalby
Apply Fontwork Alignment	Nastavit zarovnání písmomalby
Apply Fontwork Character Spacing	Nastavit mezery mezi znaky u písmomalby
with	s
Corner control	Ovládání rohu
Selection of a corner point.	Výběr bodu v rohu.
Top left	Nahoře vlevo
Top middle	Nahoře uprostřed
Top right	Nahoře vpravo
